job_id,title,requirements,description,company,raw_text,processed_text
44,Sera Yöneticisi,"Seracılık deneyimi, sera iklim kontrolü ve bitki yetiştirme bilgisi.","Seralarda bitki üretimini yönetecek, iklim koşullarını optimize edecek ve ürünlerin sağlıklı bir şekilde büyümesini sağlayacaksınız.",GreenHouse Tech,"Sera Yöneticisi Seralarda bitki üretimini yönetecek, iklim koşullarını optimize edecek ve ürünlerin sağlıklı bir şekilde büyümesini sağlayacaksınız. Seracılık deneyimi, sera iklim kontrolü ve bitki yetiştirme bilgisi.",sera yönet sera bitki üretim yönet iklim koşul optimize et ürün sağlık bir şekil büyü sağla sera deney sera iklim kontrol bitki yetiş bilgi
45,Tarım Teknolojileri Uzmanı,"Tarım teknolojileri konusunda bilgi, drone ve otomasyon sistemleri bilgisi.","Tarımda kullanılan teknolojileri takip edecek, yeni tarım makineleri ve otomasyon sistemleri ile üretim süreçlerini iyileştirecek ve teknolojik çözümler sunacaksınız.",AgriInnovations,"Tarım Teknolojileri Uzmanı Tarımda kullanılan teknolojileri takip edecek, yeni tarım makineleri ve otomasyon sistemleri ile üretim süreçlerini iyileştirecek ve teknolojik çözümler sunacaksınız. Tarım teknolojileri konusunda bilgi, drone ve otomasyon sistemleri bilgisi.",tar teknoloji uzma tar kullan teknoloji takip et yeni tar makine otomasyon sistem üretim süreç iyi teknolojik çözümle sun tar teknoloji konu bilgi drone otomasyon sistem bilgi
46,Müşteri Temsilcisi,"Müşteri hizmetleri alanında deneyim, güçlü iletişim becerileri.","Müşteri temsilcisi olarak, müşterilere telefon, e-posta veya canlı destek aracılığıyla hizmet verecek, sorunları çözerek müşteri memnuniyetini sağlayacaksınız.",Global Outsourcing,"Müşteri Temsilcisi Müşteri temsilcisi olarak, müşterilere telefon, e-posta veya canlı destek aracılığıyla hizmet verecek, sorunları çözerek müşteri memnuniyetini sağlayacaksınız. Müşteri hizmetleri alanında deneyim, güçlü iletişim becerileri.",müşteri temsilci müşteri temsilci ol müşteri telefon eposta canlı destek aracılığıyla hizmet ver sorun çöz müşteri memnuniyet sağla müşteri hizmet alan deney güçlü iletişim beceri
47,Çağrı Merkezi Elemanı,"Çağrı merkezi deneyimi, etkili problem çözme becerisi.","Çağrı merkezi elemanı olarak, gelen çağrıları karşılayacak, müşterilerin taleplerini karşılayacak ve çözüm önerileri sunacaksınız.",TechBPO Solutions,"Çağrı Merkezi Elemanı Çağrı merkezi elemanı olarak, gelen çağrıları karşılayacak, müşterilerin taleplerini karşılayacak ve çözüm önerileri sunacaksınız. Çağrı merkezi deneyimi, etkili problem çözme becerisi.",çağrı merkezi eleman çağrı merkezi eleman ol gelen çağrı karşıla müşteri talep karşıla çöz öneri sun çağrı merkezi deney etki problem çöz beceri
48,Veri Girişi Elemanı,"Veri girişi konusunda deneyim, hızlı ve dikkatli çalışma becerisi.","Veri girişini sağlayacak, sistemdeki verileri doğru bir şekilde kaydedecek ve veri tabanlarını güncel tutacaksınız.",OutsourcePro,"Veri Girişi Elemanı Veri girişini sağlayacak, sistemdeki verileri doğru bir şekilde kaydedecek ve veri tabanlarını güncel tutacaksınız. Veri girişi konusunda deneyim, hızlı ve dikkatli çalışma becerisi.",veri giriş eleman veri giriş sağla sistem veri doğru bir şekil kaydet veri taban güncel tut veri giriş konu deney hızlı dikkatli çalış beceri
49,BPO Proje Yöneticisi,"BPO projeleri yönetiminde deneyim, takım yönetimi ve müşteri ilişkileri becerisi.","BPO projelerinin yönetiminden sorumlu olacak, müşterilerle ilişkileri yönetecek ve projelerin zamanında ve bütçe dahilinde tamamlanmasını sağlayacaksınız.",ServicePlus BPO,"BPO Proje Yöneticisi BPO projelerinin yönetiminden sorumlu olacak, müşterilerle ilişkileri yönetecek ve projelerin zamanında ve bütçe dahilinde tamamlanmasını sağlayacaksınız. BPO projeleri yönetiminde deneyim, takım yönetimi ve müşteri ilişkileri becerisi.",bpo proje yönet bpo proje yönetim sorumlu ol müşteri ilişki yönet proje zamanında bütçe dahil tamam sağla bpo proje yönetim deney tak yönet müşteri ilişki beceri
50,BPO Kalite Kontrol Uzmanı,"Kalite kontrol deneyimi, müşteri hizmetleri süreçlerine hakimiyet.","BPO süreçlerini denetleyecek, kalite standartlarını sağlayacak ve performans iyileştirmeleri için önerilerde bulunacaksınız.",BPO Connect,"BPO Kalite Kontrol Uzmanı BPO süreçlerini denetleyecek, kalite standartlarını sağlayacak ve performans iyileştirmeleri için önerilerde bulunacaksınız. Kalite kontrol deneyimi, müşteri hizmetleri süreçlerine hakimiyet.",bpo kalite kontrol uzma bpo süreç denetle kalite standart sağla performans iyi öneri bulun kalite kontrol deney müşteri hizmet süreç hakimiyet
51,Satış Temsilcisi,"Satış deneyimi, güçlü iletişim becerileri ve ikna kabiliyeti.","Satış temsilcisi olarak, potansiyel müşterilerle iletişim kuracak, satış hedeflerini gerçekleştirecek ve ürünler hakkında bilgi vererek müşteri ihtiyaçlarını karşılayacaksınız.",ProSales,"Satış Temsilcisi Satış temsilcisi olarak, potansiyel müşterilerle iletişim kuracak, satış hedeflerini gerçekleştirecek ve ürünler hakkında bilgi vererek müşteri ihtiyaçlarını karşılayacaksınız. Satış deneyimi, güçlü iletişim becerileri ve ikna kabiliyeti.",satış temsilci satış temsilci ol potansiyel müşteri iletişim kur satış hedef gerçek ürün hakkında bilgi ver müşteri ihtiyaç karşıla satış deney güçlü iletişim beceri ikna kabiliyet
52,Satış Müdürü,"Satış yönetimi konusunda en az 5 yıl deneyim, liderlik ve stratejik düşünme becerisi.","Satış müdürü olarak, satış ekibini yönetecek, stratejik planlar geliştirecek ve şirketin satış hedeflerine ulaşmasını sağlayacaksınız.",SalesForce Inc.,"Satış Müdürü Satış müdürü olarak, satış ekibini yönetecek, stratejik planlar geliştirecek ve şirketin satış hedeflerine ulaşmasını sağlayacaksınız. Satış yönetimi konusunda en az 5 yıl deneyim, liderlik ve stratejik düşünme becerisi.",satış müdür satış müdür ol satış ekip yönet stratejik planla geliştir şirket satış hedef ulaş sağla satış yönet konu 5 yıl deney lider stratejik düşün beceri
53,Perakende Satış Uzmanı,"Perakende satış deneyimi, müşteri memnuniyetine odaklanma.","Perakende satış uzmanı olarak, mağaza içi satış faaliyetlerini yönetecek, müşteri ihtiyaçlarını anlayarak ürün önerileri yapacak ve satış hedeflerini aşmaya çalışacaksınız.",RetailMax,"Perakende Satış Uzmanı Perakende satış uzmanı olarak, mağaza içi satış faaliyetlerini yönetecek, müşteri ihtiyaçlarını anlayarak ürün önerileri yapacak ve satış hedeflerini aşmaya çalışacaksınız. Perakende satış deneyimi, müşteri memnuniyetine odaklanma.",perakende satış uzma perakende satış uzma ol mağaza iç satış faaliyet yönet müşteri ihtiyaç anla ürün öneri yap satış hedef aş çalış perakende satış deney müşteri memnuniyet odakla
54,Yurtdışı Satış Temsilcisi,"İngilizce ve/veya diğer yabancı dillerde iletişim becerisi, uluslararası satış tecrübesi.","Yurtdışı satış temsilcisi olarak, yurtdışındaki potansiyel müşterilerle görüşmeler yapacak, yeni pazarlara girecek ve satış hacmini artıracaksınız.",GlobalTrade Ltd.,"Yurtdışı Satış Temsilcisi Yurtdışı satış temsilcisi olarak, yurtdışındaki potansiyel müşterilerle görüşmeler yapacak, yeni pazarlara girecek ve satış hacmini artıracaksınız. İngilizce ve/veya diğer yabancı dillerde iletişim becerisi, uluslararası satış tecrübesi.",yurtdışı satış temsilci yurtdışı satış temsilci ol yurtdışı potansiyel müşteri görüşme yap yeni pazar gir satış hacim artır i̇ngilizce veveya diğer yabancı dil iletişim beceri uluslararası satış tecrübe
55,Satış Destek Uzmanı,"Satış destek süreçleri konusunda bilgi, organizasyon ve iletişim becerisi.","Satış destek uzmanı olarak, satış ekiplerine destek sağlayacak, müşteri taleplerini yönlendirecek ve satış sonrası süreçleri takip edeceksiniz.",SupportSales,"Satış Destek Uzmanı Satış destek uzmanı olarak, satış ekiplerine destek sağlayacak, müşteri taleplerini yönlendirecek ve satış sonrası süreçleri takip edeceksiniz. Satış destek süreçleri konusunda bilgi, organizasyon ve iletişim becerisi.",satış destek uzma satış destek uzma ol satış ekip destek sağla müşteri talep yönlen satış sonra süreç takip et satış destek süreç konu bilgi organizasyon iletişim beceri
56,İş Geliştirme Danışmanı,"İş geliştirme süreçlerinde deneyim, güçlü analitik düşünme ve müşteri odaklılık.","İş geliştirme danışmanı olarak, şirketin büyüme stratejilerini belirleyecek, potansiyel müşterilerle ilişkiler kuracak ve iş fırsatlarını değerlendireceksiniz.",GrowthPartners,"İş Geliştirme Danışmanı İş geliştirme danışmanı olarak, şirketin büyüme stratejilerini belirleyecek, potansiyel müşterilerle ilişkiler kuracak ve iş fırsatlarını değerlendireceksiniz. İş geliştirme süreçlerinde deneyim, güçlü analitik düşünme ve müşteri odaklılık.",i̇ş geliştir danışman i̇ş geliştir danışman ol şirket büyü strateji belirle potansiyel müşteri ilişki kur iş fırsat değerlendir i̇ş geliştir süreç deney güçlü analitik düşün müşteri odak
57,Strateji Danışmanı,"Stratejik planlama deneyimi, iş analizi becerileri, yüksek analiz yeteneği.","Strateji danışmanı olarak, organizasyonların stratejik hedeflerini belirleyerek iş süreçlerini iyileştirecek, büyüme ve gelişim için yeni yollar önereceksiniz.",StrategyWorks,"Strateji Danışmanı Strateji danışmanı olarak, organizasyonların stratejik hedeflerini belirleyerek iş süreçlerini iyileştirecek, büyüme ve gelişim için yeni yollar önereceksiniz. Stratejik planlama deneyimi, iş analizi becerileri, yüksek analiz yeteneği.",stratej danışman stratej danışman ol organizasyon stratejik hedef belirle iş süreç iyi büyü gelişim yeni yolla öner stratejik planla deney iş analiz beceri yüksek analiz yetenek
58,İnsan Kaynakları Danışmanı,"İK süreçleri ve organizasyonel gelişim deneyimi, güçlü iletişim becerileri.","İK danışmanı olarak, şirketlerin insan kaynakları stratejilerini geliştirerek, çalışan memnuniyeti ve organizasyonel verimliliği artıracak çözümler önereceksiniz.",HRConsulting Ltd.,"İnsan Kaynakları Danışmanı İK danışmanı olarak, şirketlerin insan kaynakları stratejilerini geliştirerek, çalışan memnuniyeti ve organizasyonel verimliliği artıracak çözümler önereceksiniz. İK süreçleri ve organizasyonel gelişim deneyimi, güçlü iletişim becerileri.",i̇nsan kaynak danışman i̇k danışman ol şirket insan kaynak strateji geliştir çalış memnuniyet organizasyonel verim artır çözümle öner i̇k süreç organizasyonel gelişim deney güçlü iletişim beceri
59,Dijital Dönüşüm Danışmanı,"Dijital dönüşüm projelerinde deneyim, teknoloji trendleri ve yazılım bilgisi.","Dijital dönüşüm danışmanı olarak, şirketlerin dijitalleşme süreçlerini yönlendirecek, teknoloji entegrasyonları sağlayacak ve dijital stratejiler geliştireceksiniz.",TechTransformed,"Dijital Dönüşüm Danışmanı Dijital dönüşüm danışmanı olarak, şirketlerin dijitalleşme süreçlerini yönlendirecek, teknoloji entegrasyonları sağlayacak ve dijital stratejiler geliştireceksiniz. Dijital dönüşüm projelerinde deneyim, teknoloji trendleri ve yazılım bilgisi.",dijital dönüşüm danışman dijital dönüşüm danışman ol şirket dijital süreç yönlen teknoloji entegrasyon sağla dijital strateji geliştir dijital dönüşüm proje deney teknoloji trend yazılı bilgi
60,Finansal Danışman,"Finansal analiz ve yatırım stratejileri konusunda deneyim, güçlü finansal bilgi birikimi.","Finansal danışman olarak, şirketlere mali stratejiler ve bütçeleme konularında rehberlik edecek, yatırım fırsatlarını analiz edecek ve risk yönetimi stratejileri geliştireceksiniz.",FinanceConsult,"Finansal Danışman Finansal danışman olarak, şirketlere mali stratejiler ve bütçeleme konularında rehberlik edecek, yatırım fırsatlarını analiz edecek ve risk yönetimi stratejileri geliştireceksiniz. Finansal analiz ve yatırım stratejileri konusunda deneyim, güçlü finansal bilgi birikimi.",finansal danışman finansal danışman ol şirket mali strateji bütçele konu rehber et yatır fırsat analiz et risk yönet strateji geliştir finansal analiz yatır strateji konu deney güçlü finansal bilgi birikim
61,İş Geliştirme Danışmanı,"İş geliştirme süreçlerinde deneyim, güçlü analitik düşünme ve müşteri odaklılık.","İş geliştirme danışmanı olarak, şirketin büyüme stratejilerini belirleyecek, potansiyel müşterilerle ilişkiler kuracak ve iş fırsatlarını değerlendireceksiniz.",GrowthPartners,"İş Geliştirme Danışmanı İş geliştirme danışmanı olarak, şirketin büyüme stratejilerini belirleyecek, potansiyel müşterilerle ilişkiler kuracak ve iş fırsatlarını değerlendireceksiniz. İş geliştirme süreçlerinde deneyim, güçlü analitik düşünme ve müşteri odaklılık.",i̇ş geliştir danışman i̇ş geliştir danışman ol şirket büyü strateji belirle potansiyel müşteri ilişki kur iş fırsat değerlendir i̇ş geliştir süreç deney güçlü analitik düşün müşteri odak
62,Strateji Danışmanı,"Stratejik planlama deneyimi, iş analizi becerileri, yüksek analiz yeteneği.","Strateji danışmanı olarak, organizasyonların stratejik hedeflerini belirleyerek iş süreçlerini iyileştirecek, büyüme ve gelişim için yeni yollar önereceksiniz.",StrategyWorks,"Strateji Danışmanı Strateji danışmanı olarak, organizasyonların stratejik hedeflerini belirleyerek iş süreçlerini iyileştirecek, büyüme ve gelişim için yeni yollar önereceksiniz. Stratejik planlama deneyimi, iş analizi becerileri, yüksek analiz yeteneği.",stratej danışman stratej danışman ol organizasyon stratejik hedef belirle iş süreç iyi büyü gelişim yeni yolla öner stratejik planla deney iş analiz beceri yüksek analiz yetenek
63,İnsan Kaynakları Danışmanı,"İK süreçleri ve organizasyonel gelişim deneyimi, güçlü iletişim becerileri.","İK danışmanı olarak, şirketlerin insan kaynakları stratejilerini geliştirerek, çalışan memnuniyeti ve organizasyonel verimliliği artıracak çözümler önereceksiniz.",HRConsulting Ltd.,"İnsan Kaynakları Danışmanı İK danışmanı olarak, şirketlerin insan kaynakları stratejilerini geliştirerek, çalışan memnuniyeti ve organizasyonel verimliliği artıracak çözümler önereceksiniz. İK süreçleri ve organizasyonel gelişim deneyimi, güçlü iletişim becerileri.",i̇nsan kaynak danışman i̇k danışman ol şirket insan kaynak strateji geliştir çalış memnuniyet organizasyonel verim artır çözümle öner i̇k süreç organizasyonel gelişim deney güçlü iletişim beceri
64,Dijital Dönüşüm Danışmanı,"Dijital dönüşüm projelerinde deneyim, teknoloji trendleri ve yazılım bilgisi.","Dijital dönüşüm danışmanı olarak, şirketlerin dijitalleşme süreçlerini yönlendirecek, teknoloji entegrasyonları sağlayacak ve dijital stratejiler geliştireceksiniz.",TechTransformed,"Dijital Dönüşüm Danışmanı Dijital dönüşüm danışmanı olarak, şirketlerin dijitalleşme süreçlerini yönlendirecek, teknoloji entegrasyonları sağlayacak ve dijital stratejiler geliştireceksiniz. Dijital dönüşüm projelerinde deneyim, teknoloji trendleri ve yazılım bilgisi.",dijital dönüşüm danışman dijital dönüşüm danışman ol şirket dijital süreç yönlen teknoloji entegrasyon sağla dijital strateji geliştir dijital dönüşüm proje deney teknoloji trend yazılı bilgi
65,Otomotiv Mühendisi,"Otomotiv mühendisliği alanında lisans mezunu, CAD yazılım bilgisi.","Otomotiv mühendisi olarak, yeni araç tasarımları yapacak, prototipler üzerinde çalışacak ve üretim süreçlerini iyileştireceksiniz.",AutoDesign,"Otomotiv Mühendisi Otomotiv mühendisi olarak, yeni araç tasarımları yapacak, prototipler üzerinde çalışacak ve üretim süreçlerini iyileştireceksiniz. Otomotiv mühendisliği alanında lisans mezunu, CAD yazılım bilgisi.",otomotiv mühendis otomotiv mühendis ol yeni araç tasarım yap prototiple üzerinde çalış üretim süreç iyi otomotiv mühendis alan lisans mezun cad yazılı bilgi
66,Servis Danışmanı,"Müşteri hizmetleri deneyimi, otomotiv sektörü bilgisi.","Servis danışmanı olarak, müşterilere bakım ve onarım hizmetleri hakkında bilgi verecek, onların taleplerini karşılayarak hizmet sürecini yöneteceksiniz.",Speedy AutoCare,"Servis Danışmanı Servis danışmanı olarak, müşterilere bakım ve onarım hizmetleri hakkında bilgi verecek, onların taleplerini karşılayarak hizmet sürecini yöneteceksiniz. Müşteri hizmetleri deneyimi, otomotiv sektörü bilgisi.",servis danışman servis danışman ol müşteri bakı on hizmet hakkında bilgi ver o talep karşıla hizmet süreç yönet müşteri hizmet deney otomotiv sektör bilgi
67,Yedek Parça Uzmanı,Yedek parça tedarik zinciri ve stok yönetimi bilgisi.,"Yedek parça uzmanı olarak, araçların bakım ve onarım süreçlerinde kullanılan yedek parçaları temin edecek, envanter kontrolünü sağlayacak ve tedarikçi ilişkilerini yöneteceksiniz.",AutoParts Pro,"Yedek Parça Uzmanı Yedek parça uzmanı olarak, araçların bakım ve onarım süreçlerinde kullanılan yedek parçaları temin edecek, envanter kontrolünü sağlayacak ve tedarikçi ilişkilerini yöneteceksiniz. Yedek parça tedarik zinciri ve stok yönetimi bilgisi.",yedek parça uzma yedek parça uzma ol araç bakı on süreç kullan yedek parça te et envanter kontrol sağla tedarik ilişki yönet yedek parça tedarik zincir stok yönet bilgi
68,Otomotiv Tasarımcı,"Endüstriyel tasarım veya otomotiv tasarımı konusunda deneyim, 3D modelleme bilgisi.","Otomotiv tasarımcı olarak, yeni araç modellerinin tasarım sürecine katılacak, görsel tasarımlar oluşturacak ve üretim için uygun çözümler geliştireceksiniz.",AutoInnovate,"Otomotiv Tasarımcı Otomotiv tasarımcı olarak, yeni araç modellerinin tasarım sürecine katılacak, görsel tasarımlar oluşturacak ve üretim için uygun çözümler geliştireceksiniz. Endüstriyel tasarım veya otomotiv tasarımı konusunda deneyim, 3D modelleme bilgisi.",otomotiv tasarım otomotiv tasarım ol yeni araç model tasar süreç katıl görsel tasarımla oluş üretim uygun çözümle geliştir endüstriyel tasar otomotiv tasar konu deney 3d modelle bilgi
69,Satış Danışmanı (Otomotiv),"Satış ve müşteri ilişkileri yönetimi deneyimi, otomotiv ürün bilgisi.","Otomotiv satış danışmanı olarak, araç satışlarını gerçekleştirecek, müşteri taleplerine göre uygun araçları önererek satış süreçlerini yönlendireceksiniz.",DriveAuto,"Satış Danışmanı (Otomotiv) Otomotiv satış danışmanı olarak, araç satışlarını gerçekleştirecek, müşteri taleplerine göre uygun araçları önererek satış süreçlerini yönlendireceksiniz. Satış ve müşteri ilişkileri yönetimi deneyimi, otomotiv ürün bilgisi.",satış danışman otomotiv otomotiv satış danışman ol araç satış gerçek müşteri talep göre uygun araç öner satış süreç yönlen satış müşteri ilişki yönet deney otomotiv ürün bilgi
70,Aşçı,"Profesyonel mutfak deneyimi, yemek yapma ve sunum becerisi.","Aşçı olarak, restoranın menüsüne uygun yemekler hazırlayacak, mutfak ekibini yönlendirecek ve yemeklerin sunumunu gerçekleştireceksiniz.",Gourmet Kitchen,"Aşçı Aşçı olarak, restoranın menüsüne uygun yemekler hazırlayacak, mutfak ekibini yönlendirecek ve yemeklerin sunumunu gerçekleştireceksiniz. Profesyonel mutfak deneyimi, yemek yapma ve sunum becerisi.",aşçı aşçı ol restoran menü uygun yemek hazırla mutfak ekip yönlen yemek sunum gerçek profesyonel mutfak deney yemek yap sunu beceri
71,Pastane Şefi,"Fırıncılık ve pasta yapma konusunda deneyim, yaratıcı tarifler geliştirme becerisi.","Pastane şefi olarak, tatlılar ve pastalar hazırlayacak, menüye yeni tatlar ekleyecek ve pastane ürünlerinin kalitesini denetleyeceksiniz.",SweetDelights Patisserie,"Pastane Şefi Pastane şefi olarak, tatlılar ve pastalar hazırlayacak, menüye yeni tatlar ekleyecek ve pastane ürünlerinin kalitesini denetleyeceksiniz. Fırıncılık ve pasta yapma konusunda deneyim, yaratıcı tarifler geliştirme becerisi.",pastane şef pastane şef ol tatlı pasta hazırla menü yeni tat ekle pastane ürün kalite denetle fırın pas yap konu deney yarat tarif geliştir beceri
72,Mutfak Şefi,"Liderlik deneyimi, mutfak yönetimi ve hijyen kurallarına hakimiyet.","Mutfak şefi olarak, mutfak operasyonlarını yönetip, menüyü planlayacak, malzeme tedarik sürecini denetleyecek ve ekibin verimli çalışmasını sağlayacaksınız.",TasteMasters Restaurant,"Mutfak Şefi Mutfak şefi olarak, mutfak operasyonlarını yönetip, menüyü planlayacak, malzeme tedarik sürecini denetleyecek ve ekibin verimli çalışmasını sağlayacaksınız. Liderlik deneyimi, mutfak yönetimi ve hijyen kurallarına hakimiyet.",mutfak şef mutfak şef ol mutfak operasyon yönet menü planla malzeme tedarik süreç denetle ekip verim çalış sağla lider deney mutfak yönet hijyen kural hakimiyet
73,Yemek Tasarımcısı,"Yemek estetiği ve sunumu konusunda bilgi, yaratıcı yemek tasarım becerisi.","Yemek tasarımcısı olarak, restoranın yemeklerini görsel olarak şık ve estetik açıdan cezbedici hale getirecek, yemeklerin sunumunu estetik kurallara uygun olarak hazırlayacaksınız.",Visual Bites,"Yemek Tasarımcısı Yemek tasarımcısı olarak, restoranın yemeklerini görsel olarak şık ve estetik açıdan cezbedici hale getirecek, yemeklerin sunumunu estetik kurallara uygun olarak hazırlayacaksınız. Yemek estetiği ve sunumu konusunda bilgi, yaratıcı yemek tasarım becerisi.",yemek tasarım yemek tasarım ol restoran yemek görsel ol şık estetik açı cezbet hal getir yemek sunum estetik kural uygun ol hazırla yemek estetik sunu konu bilgi yarat yemek tasar beceri
74,Finansal Analist,"Finansal analiz ve raporlama konusunda deneyim, Excel ve finansal yazılımlar bilgisi.","Finansal analist olarak, şirketin mali durumunu analiz edecek, raporlar hazırlayacak ve finansal stratejiler önererek karar süreçlerine katkı sağlayacaksınız.",FinansPro,"Finansal Analist Finansal analist olarak, şirketin mali durumunu analiz edecek, raporlar hazırlayacak ve finansal stratejiler önererek karar süreçlerine katkı sağlayacaksınız. Finansal analiz ve raporlama konusunda deneyim, Excel ve finansal yazılımlar bilgisi.",finansal analist finansal analist ol şirket mali durum analiz et raporla hazırla finansal strateji öner kar süreç katkı sağla finansal analiz raporla konu deney excel finansal yazılım bilgi
75,Portföy Yöneticisi,"Yatırım yönetimi konusunda deneyim, analiz ve risk yönetimi bilgisi.","Portföy yöneticisi olarak, yatırım portföylerinin yönetimini üstlenecek, piyasa analizleri yapacak ve müşterilere yatırım önerileri sunacaksınız.",InvestMentors,"Portföy Yöneticisi Portföy yöneticisi olarak, yatırım portföylerinin yönetimini üstlenecek, piyasa analizleri yapacak ve müşterilere yatırım önerileri sunacaksınız. Yatırım yönetimi konusunda deneyim, analiz ve risk yönetimi bilgisi.",portföy yönet portföy yönet ol yatır portföy yönetim üstlen piyasa analiz yap müşteri yatır öneri sun yatır yönet konu deney analiz risk yönet bilgi
76,Finans Direktörü,"Finansal yönetim deneyimi, liderlik ve stratejik düşünme becerisi.","Finans direktörü olarak, şirketin finansal stratejilerini oluşturacak, bütçeleme, raporlama ve yatırım kararlarını yönlendireceksiniz.",Capital Leaders,"Finans Direktörü Finans direktörü olarak, şirketin finansal stratejilerini oluşturacak, bütçeleme, raporlama ve yatırım kararlarını yönlendireceksiniz. Finansal yönetim deneyimi, liderlik ve stratejik düşünme becerisi.",finans direktör finans direktör ol şirket finansal strateji oluş bütçele raporla yatır karar yönlen finansal yönet deney lider stratejik düşün beceri
77,Muhasebe Uzmanı,"Muhasebe ve vergi mevzuatı bilgisi, finansal raporlama deneyimi.","Muhasebe uzmanı olarak, şirketin muhasebe işlemlerini takip edecek, finansal raporlar oluşturacak ve vergi düzenlemelerine uygunluk sağlamak için çalışacaksınız.",Accounting Solutions,"Muhasebe Uzmanı Muhasebe uzmanı olarak, şirketin muhasebe işlemlerini takip edecek, finansal raporlar oluşturacak ve vergi düzenlemelerine uygunluk sağlamak için çalışacaksınız. Muhasebe ve vergi mevzuatı bilgisi, finansal raporlama deneyimi.",muhasebe uzma muhasebe uzma ol şirket muhasebe işlem takip et finansal raporla oluş vergi düzenle uygun sağla çalış muhasebe vergi mevzuat bilgi finansal raporla deney
78,Risk Yönetimi Uzmanı,"Risk yönetimi ve finansal analiz konusunda deneyim, analiz yeteneği.","Risk yönetimi uzmanı olarak, şirketin finansal risklerini analiz edecek, risk azaltma stratejileri geliştirecek ve uygun sigorta çözümleri önererek şirketin finansal güvenliğini sağlayacaksınız.",RiskGuard Finance,"Risk Yönetimi Uzmanı Risk yönetimi uzmanı olarak, şirketin finansal risklerini analiz edecek, risk azaltma stratejileri geliştirecek ve uygun sigorta çözümleri önererek şirketin finansal güvenliğini sağlayacaksınız. Risk yönetimi ve finansal analiz konusunda deneyim, analiz yeteneği.",risk yönet uzma risk yönet uzma ol şirket finansal risk analiz et risk azalt strateji geliştir uygun sigorta çözüm öner şirket finansal güvenlik sağla risk yönet finansal analiz konu deney analiz yetenek
79,Moda Tasarımcısı,"Moda tasarımı konusunda deneyim, yaratıcı düşünme ve çizim yeteneği.","Moda tasarımcısı olarak, yeni koleksiyonlar oluşturacak, trend analizleri yapacak ve markanın stilini yansıtan tasarımlar geliştireceksiniz.",Vogue Apparel,"Moda Tasarımcısı Moda tasarımcısı olarak, yeni koleksiyonlar oluşturacak, trend analizleri yapacak ve markanın stilini yansıtan tasarımlar geliştireceksiniz. Moda tasarımı konusunda deneyim, yaratıcı düşünme ve çizim yeteneği.",moda tasarım moda tasarım ol yeni koleksiyon oluş trend analiz yap marka stil yansı tasarımla geliştir moda tasar konu deney yarat düşün çizi yetenek
80,Satın Alma Uzmanı,"Tedarik zinciri yönetimi ve pazarlık becerisi, piyasa araştırma bilgisi.","Satın alma uzmanı olarak, malzeme ve ürün tedarik süreçlerini yönetecek, fiyat araştırmaları yapacak ve tedarikçi ilişkilerini geliştireceksiniz.",Fashion Goods,"Satın Alma Uzmanı Satın alma uzmanı olarak, malzeme ve ürün tedarik süreçlerini yönetecek, fiyat araştırmaları yapacak ve tedarikçi ilişkilerini geliştireceksiniz. Tedarik zinciri yönetimi ve pazarlık becerisi, piyasa araştırma bilgisi.",sat al uzma sat al uzma ol malzeme ürün tedarik süreç yönet fiyat araştırma yap tedarik ilişki geliştir tedarik zincir yönet pazarlık beceri piyasa araştır bilgi
81,Perakende Satış Yöneticisi,"Perakende satış deneyimi, müşteri ilişkileri yönetimi.","Perakende satış yöneticisi olarak, mağaza performansını izleyecek, satış hedefleri oluşturacak ve ekip yönetimi yaparak satışları artırmaya çalışacaksınız.",Trendy Wear,"Perakende Satış Yöneticisi Perakende satış yöneticisi olarak, mağaza performansını izleyecek, satış hedefleri oluşturacak ve ekip yönetimi yaparak satışları artırmaya çalışacaksınız. Perakende satış deneyimi, müşteri ilişkileri yönetimi.",perakende satış yönet perakende satış yönet ol mağaza performans izle satış hedef oluş ek yönet yap satış artır çalış perakende satış deney müşteri ilişki yönet
82,Pazarlama Müdürü,"Moda pazarlama deneyimi, sosyal medya ve dijital pazarlama bilgisi.","Pazarlama müdürü olarak, markanın pazarlama stratejilerini geliştirecek, kampanyalar düzenleyecek ve dijital mecralar üzerinden satışları artıracak projeler geliştireceksiniz.",Style International,"Pazarlama Müdürü Pazarlama müdürü olarak, markanın pazarlama stratejilerini geliştirecek, kampanyalar düzenleyecek ve dijital mecralar üzerinden satışları artıracak projeler geliştireceksiniz. Moda pazarlama deneyimi, sosyal medya ve dijital pazarlama bilgisi.",pazarla müdür pazarla müdür ol marka pazarla strateji geliştir kampanya düzenle dijital mecra üzer satış artır proje geliştir moda pazarla deney sosyal medya dijital pazarla bilgi
